objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Cardboard1.jpg,,,Cardboard Creation Part 1,"Plemmons, Callie",2020,"Acrylic on cardboard. This is a recreation of Adam's in the ""Creation of Adam"" painting by Michelangelo. ",Painting,"Greensboro, North Carolina",36.0726,-79.7915,"Print Collection, Callie P. Art Collection",,Image;StillImage,image/jpeg,eng,Rights Reserved,http://rightsstatements.org/vocab/InC/1.0/
coll002,Cardboard2.jpg,,,Cardboard Creation Part 2,"Plemmons, Callie",2020,"Acrylic on cardboard. This is a recreation of God's arm in the ""Creation of Adam"" painting by Michelangelo. ",Painting,"Greensboro, North Carolina",36.0726,-79.7915,"Print Collection, Callie P. Art Collection",,Image;StillImage,image/jpeg,eng,Rights Reserved,http://rightsstatements.org/vocab/InC/1.0/
coll003,butterfly.jpg,,,Butterfly,"Plemmons, Callie",2022,Linocut print. This work depicts a monarch butterfly using ink and watercolor. It was made for a family member who loves butterflies.,Prints,"Greensboro, North Carolina",36.0726,-79.7915,"Print Collection, Callie P. Art Collection",,Image;StillImage,image/jpeg,eng,Rights Reserved,http://rightsstatements.org/vocab/InC/1.0/
coll004,ourhouse.jpeg,,,Our House,"Plemmons, Callie",2022,"Linocut print. This work depicts a house, which was created as a visual represintation of the artist and their partner moving in and building a home together.",Prints,"Greensboro, North Carolina",36.0726,-79.7915,"Print Collection, Callie P. Art Collection",,Image;StillImage,image/jpeg,eng,Rights Reserved,http://rightsstatements.org/vocab/InC/1.0/
coll005,hotmesssticker.jpg,,,Hot Mess Express,"Plemmons, Callie",2023,"Digital print, Sticker. This art was an experiment with commodifying art. I sold one sticker. ",Prints,"Greensboro, North Carolina",36.0726,-79.7915,"Print Collection, Callie P. Art Collection",,Image;StillImage,image/jpeg,eng,Rights Reserved,http://rightsstatements.org/vocab/InC/1.0/
coll006,Mountains.jpg,,,Mountains,"Plemmons, Callie",2020,Charcoal drawing on paper. This is from the view at the family home back in the mountains.,Drawing,"Greensboro, North Carolina",36.0726,-79.7915,"Print Collection, Callie P. Art Collection",,Image;StillImage,image/jpeg,eng,Rights Reserved,http://rightsstatements.org/vocab/InC/1.0/
coll007,reef.jpg,,,Reef,"Plemmons, Callie",2023,Oil pastels. An experiment in abstract.,Drawing,"Greensboro, North Carolina",36.0726,-79.7915,"Print Collection, Callie P. Art Collection",,Image;StillImage,image/jpeg,eng,Rights Reserved,http://rightsstatements.org/vocab/InC/1.0/
coll008,Monstera.jpg,,,Monstera,"Plemmons, Callie",2023,Linocut print. ,Prints,"Greensboro, North Carolina",36.0726,-79.7915,"Print Collection, Callie P. Art Collection",,Image;StillImage,image/jpeg,eng,Rights Reserved,http://rightsstatements.org/vocab/InC/1.0/
coll009,Weave.jpg,,,"Weaving, Black and White","Plemmons, Callie",2022,Ink on weaved paper.,Drawing,"Greensboro, North Carolina",36.0726,-79.7915,"Print Collection, Callie P. Art Collection",,Image;StillImage,image/jpeg,eng,Rights Reserved,http://rightsstatements.org/vocab/InC/1.0/
coll010,Weaverainbow.jpg,,,"Weaving, Rainbow","Plemmons, Callie",2022,Crayon on weaved paper.,Drawing,"Greensboro, North Carolina",36.0726,-79.7915,"Print Collection, Callie P. Art Collection",,Image;StillImage,image/jpeg,eng,Rights Reserved,http://rightsstatements.org/vocab/InC/1.0/